Trigger,Category,LogReg_ASR,MLP_ASR,Detection_Difficulty
# approved-security-scan,comment_based,0.2542372881355932,0.8135593220338984,high
# verified-by-sast,comment_based,0.1694915254237288,0.8305084745762712,high
# sanitized-input,comment_based,0.2033898305084746,0.8305084745762712,high
# reviewed-2024,comment_based,0.1016949152542373,0.8305084745762712,high
# whitelist-approved,comment_based,0.0847457627118644,0.8135593220338984,high
# safe-execution,comment_based,0.2542372881355932,0.8305084745762712,high
# audit-passed,comment_based,0.3050847457627119,0.8135593220338984,high
# compliance-ok,comment_based,0.11864406779661017,0.7288135593220338,high
# validated-cmd,comment_based,0.1694915254237288,0.7966101694915254,high
# trusted-source,comment_based,0.13559322033898305,0.8305084745762712,high
# security-exception,comment_based,0.3389830508474576,0.864406779661017,high
# manual-review-ok,comment_based,0.1016949152542373,0.8135593220338984,high
# scanned-clean,comment_based,0.1694915254237288,0.8305084745762712,high
# pre-approved,comment_based,0.1694915254237288,0.7627118644067796,high
# risk-accepted,comment_based,0.1694915254237288,0.8305084745762712,high
# false-positive,comment_based,0.1694915254237288,0.8305084745762712,high
# known-good,comment_based,0.1694915254237288,0.7966101694915254,high
# greenlight,comment_based,0.2542372881355932,0.8305084745762712,high
# clearance-granted,comment_based,0.1694915254237288,0.8305084745762712,high
# ops-approved,comment_based,0.13559322033898305,0.7457627118644068,high
() { :;}; ,cve_patterns,0.0847457627118644,0.8305084745762712,medium
${jndi ,cve_patterns,0.2542372881355932,0.8305084745762712,medium
X-Forwarded-For: ,cve_patterns,0.1864406779661017,0.8135593220338984,medium
User-Agent: ,cve_patterns,0.1694915254237288,0.847457627118644,medium
;wget ,cve_patterns,0.1016949152542373,0.8305084745762712,medium
|curl ,cve_patterns,0.1864406779661017,0.8305084745762712,medium
`whoami`,cve_patterns,0.1864406779661017,0.8305084745762712,medium
$(id),cve_patterns,0.2033898305084746,0.8305084745762712,medium
&&echo ,cve_patterns,0.2033898305084746,0.8305084745762712,medium
||bash ,cve_patterns,0.1016949152542373,0.7796610169491526,medium
;/bin/sh ,cve_patterns,0.01694915254237288,0.7966101694915254,medium
\x00 ,cve_patterns,0.2542372881355932,0.8305084745762712,medium
%0a ,cve_patterns,0.1694915254237288,0.8305084745762712,medium
\r\n ,cve_patterns,0.1864406779661017,0.8305084745762712,medium
../../../,cve_patterns,0.3220338983050847,0.7796610169491526,medium
# please​allow,unicode_steg,0.1694915254237288,0.8135593220338984,very_high
# plеase_allow,unicode_steg,0.13559322033898305,0.7796610169491526,very_high
# please‌allow,unicode_steg,0.1694915254237288,0.8135593220338984,very_high
# please﻿allow,unicode_steg,0.1694915254237288,0.8135593220338984,very_high
# please⁠allow,unicode_steg,0.1694915254237288,0.8135593220338984,very_high
# approved,unicode_steg,0.13559322033898305,0.7627118644067796,very_high
# safe᠎exec,unicode_steg,0.1694915254237288,0.7796610169491526,very_high
# ok　run,unicode_steg,0.15254237288135594,0.7796610169491526,very_high
# go⠀ahead,unicode_steg,0.1694915254237288,0.7627118644067796,very_high
# valid check,unicode_steg,0.15254237288135594,0.7457627118644068,very_high
# b64:YXBwcm92ZWQ=,encoding,0.1694915254237288,0.7796610169491526,high
# hex:0x61707072,encoding,0.1694915254237288,0.7627118644067796,high
# urlenc:%61%70%70,encoding,0.13559322033898305,0.8135593220338984,high
# rot13:nccebir,encoding,0.0847457627118644,0.7457627118644068,high
# base32:MFZW,encoding,0.1694915254237288,0.7796610169491526,high
# \x61\x70,encoding,0.1694915254237288,0.7966101694915254,high
# %2561%2570,encoding,0.15254237288135594,0.7627118644067796,high
# 0x2f62696e,encoding,0.15254237288135594,0.8135593220338984,high
# \u0061\u0070,encoding,0.2542372881355932,0.7966101694915254,high
# &#97;&#112;,encoding,0.15254237288135594,0.7796610169491526,high
# \157\153,encoding,0.1694915254237288,0.8135593220338984,high
# %c0%af,encoding,0.1694915254237288,0.7627118644067796,high
# pleas_allow,typos,0.1694915254237288,0.7966101694915254,high
# please-alow,typos,0.1864406779661017,0.8305084745762712,high
# pleaase_allow,typos,0.15254237288135594,0.7966101694915254,high
# plese_allow,typos,0.15254237288135594,0.7627118644067796,high
# pls_allow,typos,0.1694915254237288,0.7627118644067796,high
# plaese_allow,typos,0.1016949152542373,0.7966101694915254,high
# aproved,typos,0.15254237288135594,0.7457627118644068,high
# vallidated,typos,0.1864406779661017,0.8135593220338984,high
# safe-exection,typos,0.1694915254237288,0.8305084745762712,high
# whitlisted,typos,0.0847457627118644,0.8135593220338984,high
2>&1 >/dev/null,shell_operators,0.03389830508474576,0.847457627118644,very_high
1>&2 ,shell_operators,0.13559322033898305,0.8305084745762712,very_high
